geoid,name,year,total_est,total_se
04000US42,Pennsylvania,2015,11.126813,.10939677
04000US42,Pennsylvania,2016,10.81168,.12305757
04000US42,Pennsylvania,2017,11.166697,.12708582
04000US44,Rhode Island,2009,8.9028234,.4310866
04000US44,Rhode Island,2010,10.160704,.4391014
04000US44,Rhode Island,2011,9.566802,.44821236
04000US44,Rhode Island,2012,9.9686985,.44785091
04000US44,Rhode Island,2013,9.615962,.44592983
04000US44,Rhode Island,2014,10.209592,.45859575
04000US44,Rhode Island,2015,10.393537,.53984767
04000US44,Rhode Island,2016,9.5132999,.46012938
04000US44,Rhode Island,2017,8.9164963,.48786172
04000US45,South Carolina,2009,6.8999996,.17598116
04000US45,South Carolina,2010,7.3391342,.18763378
04000US45,South Carolina,2011,7.3504915,.20449543
04000US45,South Carolina,2012,7.0757666,.16174707
04000US45,South Carolina,2013,6.5728536,.16712333
04000US45,South Carolina,2014,7.065084,.20066409
04000US45,South Carolina,2015,6.9181943,.21505256
04000US45,South Carolina,2016,6.3090057,.15992106
04000US45,South Carolina,2017,6.2271271,.19010648
04000US46,South Dakota,2009,5.0019264,.38187802
04000US46,South Dakota,2010,6.2099671,.3941066
04000US46,South Dakota,2011,5.9536223,.43538687
04000US46,South Dakota,2012,4.5996323,.26922557
04000US46,South Dakota,2013,4.5590606,.28947598
04000US46,South Dakota,2014,5.1112938,.30525041
04000US46,South Dakota,2015,5.3005414,.37075135
04000US46,South Dakota,2016,6.0855742,.44443268
04000US46,South Dakota,2017,5.1414628,.30308443
04000US47,Tennessee,2009,6.1753955,.16297472
04000US47,Tennessee,2010,6.2223253,.12612513
04000US47,Tennessee,2011,6.7118473,.1375338
04000US47,Tennessee,2012,6.3790026,.13990784
04000US47,Tennessee,2013,6.3248692,.13695404
04000US47,Tennessee,2014,6.6957541,.14505051
04000US47,Tennessee,2015,6.2983646,.12781809
04000US47,Tennessee,2016,5.770299,.15980892
04000US47,Tennessee,2017,5.5305939,.11636841
04000US48,Texas,2009,5.9847994,.079576559
04000US48,Texas,2010,6.0562229,.079065599
04000US48,Texas,2011,6.0857115,.088137582
04000US48,Texas,2012,5.8315949,.081468903
04000US48,Texas,2013,5.9949598,.074594453
04000US48,Texas,2014,5.7509718,.094298013
04000US48,Texas,2015,5.6056881,.076226898
04000US48,Texas,2016,5.2428203,.071422718
04000US48,Texas,2017,5.2784672,.078292161
04000US49,Utah,2009,4.3633461,.20066065
04000US49,Utah,2010,4.3990793,.18637925
04000US49,Utah,2011,4.9569526,.19378337
04000US49,Utah,2012,4.6376486,.18242288
04000US49,Utah,2013,4.3835568,.22340955
04000US49,Utah,2014,4.4107494,.20507933
04000US49,Utah,2015,4.2026682,.18170764
04000US49,Utah,2016,4.0131602,.1696085
04000US49,Utah,2017,4.0291233,.1759111
04000US50,Vermont,2009,6.028935,.42570198
04000US50,Vermont,2010,7.049221,.38059977
04000US50,Vermont,2011,6.9117727,.40253341
04000US50,Vermont,2012,6.5793753,.3935203
04000US50,Vermont,2013,7.1961112,.4516173
04000US50,Vermont,2014,6.4537821,.44235861
04000US50,Vermont,2015,7.2815022,.46479446
04000US50,Vermont,2016,7.0280285,.34913781
04000US50,Vermont,2017,6.9341345,.44132257
04000US51,Virginia,2009,6.3214102,.13836779
04000US51,Virginia,2010,6.2268519,.12874343
04000US51,Virginia,2011,6.2382092,.13580461
04000US51,Virginia,2012,6.3832545,.12652081
04000US51,Virginia,2013,6.5293179,.13565052
04000US51,Virginia,2014,6.7020125,.11129027
04000US51,Virginia,2015,6.1747179,.12623341
04000US51,Virginia,2016,6.3202968,.16155308
04000US51,Virginia,2017,6.0726781,.12889299
04000US53,Washington,2009,6.3466482,.15770914
04000US53,Washington,2010,6.6652908,.14826208
04000US53,Washington,2011,6.9901066,.1446912
04000US53,Washington,2012,6.8901634,.14196919
04000US53,Washington,2013,7.2053657,.16085562
04000US53,Washington,2014,7.2907872,.1525484
04000US53,Washington,2015,6.6635928,.15895443
04000US53,Washington,2016,6.9431982,.13108319
04000US53,Washington,2017,6.6327462,.14966282
04000US54,West Virginia,2009,8.8100872,.27933735
04000US54,West Virginia,2010,8.3863926,.29092363
04000US54,West Virginia,2011,8.8670511,.27599198
04000US54,West Virginia,2012,8.823617,.26429972
04000US54,West Virginia,2013,8.8086014,.30357701
04000US54,West Virginia,2014,8.7254801,.29084623
04000US54,West Virginia,2015,9.1563921,.31704175
04000US54,West Virginia,2016,8.9783621,.37648606
04000US54,West Virginia,2017,8.4330101,.31790322
04000US55,Wisconsin,2009,6.7111187,.15175122
04000US55,Wisconsin,2010,7.0550008,.15111433
04000US55,Wisconsin,2011,7.4604282,.13013698
04000US55,Wisconsin,2012,7.2377973,.13076715
04000US55,Wisconsin,2013,6.969264,.14901717
04000US55,Wisconsin,2014,7.0338459,.12994637
04000US55,Wisconsin,2015,6.9428911,.12875175
04000US55,Wisconsin,2016,6.9685922,.15080872
04000US55,Wisconsin,2017,6.8128529,.16468711
04000US56,Wyoming,2009,3.7533185,.4240858
04000US56,Wyoming,2010,3.6305614,.36745429
04000US56,Wyoming,2011,3.5939767,.42681712
04000US56,Wyoming,2012,3.2002614,.33581609
04000US56,Wyoming,2013,4.2820854,.41433853
04000US56,Wyoming,2014,3.8711231,.3032411
04000US56,Wyoming,2015,3.2144215,.34990352
04000US56,Wyoming,2016,4.1177177,.42105913
04000US56,Wyoming,2017,4.3477297,.40495411
